GameID,Turn,Player,Action,Target,Success,Challenged,Blocked
57,0,0,Exchange,-,No,Yes,No
57,1,1,Tax,-,Yes,No,No
57,2,0,Exchange,-,Yes,No,No
57,3,1,Income,-,Yes,No,No
57,4,0,Income,-,Yes,No,No
57,5,1,Tax,-,Yes,No,No
57,6,0,Tax,-,Yes,No,No
57,7,1,Tax,-,Yes,No,No
57,8,0,Tax,-,Yes,No,No
57,9,1,Coup,0,Yes,No,No
86,0,0,Exchange,-,No,Yes,No
86,1,1,Tax,-,No,Yes,No
86,2,0,Foreign Aid,-,Yes,No,No
87,0,0,Income,-,Yes,No,No
87,1,1,Tax,-,Yes,Yes,No
87,2,0,Foreign Aid,-,Yes,No,No
87,3,1,Exchange,-,Yes,No,No
87,4,0,Exchange,-,No,Yes,No
88,0,0,Exchange,-,No,Yes,No
88,1,1,Tax,-,No,Yes,No
88,2,0,Foreign Aid,-,Yes,No,No
90,0,0,Tax,-,Yes,No,No
90,1,1,Tax,-,Yes,Yes,No
90,2,0,Steal,1,No,Yes,1
90,3,1,Tax,-,Yes,No,No
90,4,0,Income,-,Yes,No,No
90,5,1,Assassinate,0,Yes,No,No
89,0,0,Tax,-,Yes,No,No
89,1,1,Tax,-,Yes,Yes,No
89,2,0,Steal,1,No,Yes,1
89,3,1,Tax,-,Yes,No,No
89,4,0,Income,-,Yes,No,No
89,5,1,Assassinate,0,Yes,No,No
52,0,0,Tax,-,Yes,No,No
52,1,1,Steal,0,No,Yes,No
52,2,0,Tax,-,Yes,No,No
52,3,1,Foreign Aid,-,No,No,0
52,4,0,Tax,-,No,Yes,No
52,5,1,Steal,0,No,Yes,No
93,0,0,Foreign Aid,-,Yes,No,No
93,1,1,Exchange,-,Yes,No,No
93,2,0,Assassinate,1,No,Yes,No
93,3,1,Steal,0,No,Yes,No
93,4,0,Tax,-,Yes,No,No
93,5,1,Steal,0,No,No,0
93,6,0,Income,-,Yes,No,No
93,7,1,Foreign Aid,-,Yes,No,No
93,8,0,Assassinate,1,Yes,No,No
92,0,0,Income,-,Yes,No,No
92,1,1,Steal,0,No,Yes,No
92,2,0,Exchange,-,Yes,No,No
92,3,1,Tax,-,Yes,No,No
92,4,0,Exchange,-,Yes,No,No
92,5,1,Exchange,-,Yes,No,No
92,6,0,Exchange,-,No,Yes,No
92,7,1,Assassinate,0,Yes,No,No
96,0,0,Steal,1,No,Yes,No
96,1,1,Steal,0,Yes,No,No
96,2,0,Tax,-,No,Yes,No
95,0,0,Income,-,Yes,No,No
95,1,1,Exchange,-,Yes,No,No
95,2,0,Assassinate,1,No,Yes,No
95,3,1,Exchange,-,Yes,No,No
95,4,0,Steal,1,No,No,1
95,5,1,Exchange,-,Yes,No,No
95,6,0,Exchange,-,No,Yes,No
97,0,0,Tax,-,Yes,No,No
97,1,1,Tax,-,Yes,No,No
97,2,0,Tax,-,Yes,No,No
97,3,1,Foreign Aid,-,No,No,0
97,4,0,Tax,-,Yes,No,No
97,5,1,Tax,-,No,Yes,No
97,6,0,Coup,1,Yes,No,No
94,0,0,Income,-,Yes,No,No
94,1,1,Steal,0,No,Yes,No
94,2,0,Exchange,-,Yes,No,No
94,3,1,Tax,-,Yes,No,No
94,4,0,Exchange,-,Yes,No,No
94,5,1,Exchange,-,Yes,No,No
94,6,0,Exchange,-,No,Yes,No
94,7,1,Assassinate,0,Yes,No,No
98,0,0,Income,-,Yes,No,No
98,1,1,Exchange,-,Yes,No,No
98,2,0,Assassinate,1,No,Yes,No
98,3,1,Exchange,-,Yes,No,No
98,4,0,Steal,1,No,No,1
98,5,1,Exchange,-,Yes,No,No
98,6,0,Exchange,-,No,Yes,No
99,0,0,Steal,1,No,Yes,No
99,1,1,Steal,0,Yes,No,No
99,2,0,Tax,-,No,Yes,No
101,0,0,Income,-,Yes,No,No
101,1,1,Exchange,-,No,Yes,No
101,2,0,Assassinate,1,Yes,No,No
103,0,0,Income,-,Yes,No,No
103,1,1,Tax,-,Yes,No,No
103,2,0,Income,-,Yes,No,No
103,3,1,Exchange,-,Yes,Yes,No
103,4,0,Tax,-,No,Yes,No
91,0,0,Tax,-,Yes,No,No
91,1,1,Steal,0,Yes,No,No
91,2,0,Tax,-,No,Yes,No
91,3,1,Steal,0,No,No,No
105,0,0,Steal,1,No,Yes,No
104,0,0,Income,-,Yes,No,No
104,1,1,Exchange,-,No,Yes,No
104,2,0,Assassinate,1,Yes,No,No
100,0,0,Income,-,Yes,No,No
100,1,1,Exchange,-,Yes,No,No
100,2,0,Assassinate,1,No,Yes,No
100,3,1,Exchange,-,Yes,No,No
100,4,0,Income,-,Yes,No,No
100,5,1,Exchange,-,Yes,No,No
100,6,0,Income,-,Yes,No,No
100,7,1,Foreign Aid,-,Yes,No,No
100,8,0,Income,-,Yes,No,No
100,9,1,Income,-,Yes,No,No
100,10,0,Income,-,Yes,No,No
100,11,1,Exchange,-,No,Yes,No
100,12,0,Income,-,Yes,No,No
100,13,1,Exchange,-,Yes,No,No
100,14,0,Income,-,Yes,No,No
100,15,1,Foreign Aid,-,Yes,No,No
100,16,0,Exchange,-,Yes,No,No
100,17,1,Tax,-,Yes,No,No
100,18,0,Steal,1,No,Yes,No
56,0,0,Tax,-,Yes,No,No
56,1,1,Steal,0,No,Yes,No
56,2,0,Tax,-,Yes,No,No
56,3,1,Foreign Aid,-,No,No,0
56,4,0,Tax,-,No,Yes,No
56,5,1,Steal,0,No,Yes,No
107,0,0,Income,-,Yes,No,No
107,1,1,Tax,-,Yes,No,No
107,2,0,Tax,-,Yes,No,No
107,3,1,Assassinate,0,No,Yes,No
107,4,0,Income,-,Yes,No,No
107,5,1,Income,-,Yes,No,No
107,6,0,Income,-,Yes,No,No
107,7,1,Exchange,-,Yes,No,No
107,8,0,Income,-,Yes,No,No
107,9,1,Tax,-,Yes,No,No
107,10,0,Tax,-,Yes,No,No
107,11,1,Assassinate,0,No,Yes,No
109,0,0,Exchange,-,Yes,Yes,No
109,1,1,Steal,0,No,Yes,No
110,0,0,Income,-,Yes,No,No
110,1,1,Tax,-,Yes,No,No
110,2,0,Tax,-,Yes,No,No
110,3,1,Assassinate,0,No,Yes,No
110,4,0,Income,-,Yes,No,No
110,5,1,Income,-,Yes,No,No
110,6,0,Income,-,Yes,No,No
110,7,1,Exchange,-,Yes,No,No
110,8,0,Income,-,Yes,No,No
110,9,1,Tax,-,Yes,No,No
110,10,0,Tax,-,Yes,No,No
110,11,1,Assassinate,0,No,Yes,No
108,0,0,Steal,1,Yes,No,No
108,1,1,Income,-,Yes,No,No
108,2,0,Assassinate,1,No,No,1
108,3,1,Steal,0,No,No,0
108,4,0,Tax,-,No,Yes,No
108,5,1,Foreign Aid,-,Yes,No,No
108,6,0,Tax,-,Yes,No,No
108,7,1,Income,-,Yes,No,No
108,8,0,Assassinate,1,No,Yes,No
111,0,0,Tax,-,Yes,No,No
111,1,1,Tax,-,Yes,No,No
111,2,0,Assassinate,1,No,Yes,1
111,3,1,Steal,0,Yes,No,No
111,4,0,Tax,-,Yes,No,No
111,5,1,Tax,-,No,Yes,No
111,6,0,Assassinate,1,No,Yes,No
111,7,1,Tax,-,No,Yes,No
106,0,0,Steal,1,No,Yes,No
114,0,0,Tax,-,Yes,No,No
114,1,1,Tax,-,Yes,No,No
114,2,0,Assassinate,1,No,Yes,1
114,3,1,Steal,0,Yes,No,No
114,4,0,Tax,-,Yes,No,No
114,5,1,Tax,-,No,Yes,No
114,6,0,Assassinate,1,No,Yes,No
